,country,Deaths,confirmed,Unnamed: 0,Humidity,Max_temp,Min_temp,Wind Speed,HMT.current,WRS.current,AGR.current,FRT.current,HLT.current,FSH.current,Country,Population,Area,Population_Density,Infant_mortality,GDP,Literacy,Phones,Crops,Birthrate,Deathrate,Agriculture,Industry,Service
0,United Kingdom,37919,270508,150,69.625,299.105,299.00875,4.133750000000001,93.09,99.82,57.34,6.9,96.03,42.16,United Kingdom,60609153,244820,247.6,5.16,27700.0,99.0,543.5,0.21,10.71,10.13,0.005,0.237,0.758
1,France,28665,186364,53,64.1111111111111,300.28222222222234,299.2455555555556,5.710000000000003,83.29,95.56,67.77,25.08,95.71,57.71,France,60876136,547030,111.3,4.26,27600.0,99.0,586.4,2.07,11.99,9.14,0.022,0.214,0.764
2,Spain,27119,237906,134,20.0,303.15,300.37,2.6,61.27,99.71,29.74,8.95,94.21,43.14,Spain,40397842,504782,80.0,4.42,22000.0,97.9,453.5,9.87,10.06,9.72,0.04,0.295,0.665
3,Brazil,26754,438238,22,88.0,294.15,293.15,4.1,49.19,81.08,58.83,12.43,67.44,81.42,Brazil,188078227,8511965,22.1,29.61,7600.0,86.4,225.3,0.9,16.56,6.17,0.084,0.4,0.516
4,Belgium,9388,57849,15,67.0,290.93,290.15,4.1,58.6,98.08,47.61,15.61,89.37,46.69,Belgium,10379067,30528,340.0,4.68,29100.0,98.0,462.6,0.4,10.38,10.27,0.01,0.24,0.749
5,Mexico,9044,81400,98,83.0,300.15,300.15,1.0,40.46,91.48,33.73,19.6,66.04,46.66,Mexico,107449525,1972550,54.5,20.91,9000.0,92.2,181.6,1.31,20.69,4.74,0.038,0.259,0.702
6,Germany,8470,182196,57,39.0,292.04,290.37,4.67,100.0,99.65,61.21,34.99,88.68,47.71,Germany,82422299,357021,230.9,4.16,27600.0,99.0,667.9,0.59,8.25,10.62,0.009,0.296,0.695
7,Iran,7627,143849,71,11.0,304.85,304.85,4.96,21.21,64.32,32.91,91.8,74.01,45.73,Iran,68688433,1648000,41.7,41.58,7000.0,79.4,276.4,1.39,17.0,5.55,0.116,0.424,0.46
8,Canada,6982,89976,29,74.5,288.28916666666663,286.475,4.815833333333335,91.49,96.35,61.78,11.57,97.51,42.23,Canada,33098932,9984670,3.3,4.75,29800.0,97.0,552.2,0.02,10.78,7.8,0.022,0.294,0.684
9,Netherlands,5922,46152,106,65.2,302.216,301.66200000000003,6.469999999999999,89.8,99.9,35.39,35.79,92.26,34.6,Netherlands,16491461,41526,397.1,5.04,28600.0,99.0,460.8,0.97,10.9,8.68,0.021,0.244,0.736
10,India,4711,165386,69,38.0,286.15,286.15,3.1,16.77,58.83,21.98,23.54,9.32,59.37,India,1095351995,3287590,333.2,56.29,2900.0,59.5,45.4,2.74,22.01,8.18,0.186,0.276,0.538
11,China,4638,84106,33,69.78571428571429,294.0233928571429,293.55303571428567,2.7980357142857137,38.02,80.2,34.64,21.89,31.72,70.41,China,1313973713,9596960,136.9,24.18,5000.0,90.9,266.7,1.25,13.25,6.97,0.125,0.473,0.403
12,Turkey,4461,160979,146,45.0,290.15,290.15,8.7,58.96,92.21,40.25,27.39,71.56,38.64,Turkey,70413958,780580,90.2,41.04,6700.0,86.5,269.5,3.31,16.62,5.97,0.117,0.298,0.585
13,Sweden,4266,35727,138,38.0,288.15,288.15,4.6,100.0,98.49,55.12,5.53,94.41,53.76,Sweden,9016596,449964,20.0,2.77,26800.0,99.0,715.0,0.01,10.27,10.31,0.011,0.282,0.707
14,Russia,4142,379051,122,58.0,280.48,280.48,1.6,86.2,96.53,47.83,12.43,75.48,35.48,Russia,142893540,17075200,8.4,15.39,8900.0,99.6,280.6,0.11,9.95,14.65,0.054,0.371,0.575
15,Peru,4099,141779,116,100.0,291.48,289.82,4.6,70.87,88.49,29.7,25.55,56.49,85.72,Peru,28302603,1285220,22.0,31.94,5100.0,90.9,79.5,0.4,20.48,6.23,0.08,0.27,0.65
16,Ecuador,3313,38471,44,68.0,300.91,300.91,0.8,59.87,0.0,12.76,28.22,72.58,62.01,Ecuador,13547510,283560,47.8,23.66,3300.0,92.5,125.6,4.93,22.29,4.23,0.07,0.312,0.618
17,Switzerland,1919,30796,139,37.0,292.59,292.15,5.7,87.77,99.67,43.87,47.4,93.57,56.625,Switzerland,7523934,41290,182.2,4.39,32700.0,99.0,680.9,0.61,9.71,8.49,0.015,0.34,0.645
18,Ireland,1639,24841,73,69.0,291.45,291.45,7.06,73.18,91.19,61.94,8.78,95.92,71.14,Ireland,4062235,70280,57.8,5.39,29600.0,98.0,500.5,0.03,14.45,7.82,0.05,0.46,0.49
19,Indonesia,1496,24538,70,94.0,299.15,299.15,1.0,43.84,13.6,37.98,0.01,45.44,62.54,Indonesia,245452739,1919440,127.9,35.6,3200.0,87.9,52.0,7.23,20.34,6.25,0.134,0.458,0.408
20,Portugal,1369,31596,119,28.0,308.15,308.15,1.34,64.91,93.82,6.09,0.0,90.47,32.11,Portugal,10605870,92391,114.8,5.05,18000.0,93.3,399.2,7.81,10.72,10.5,0.053,0.274,0.673
21,Pakistan,1260,61227,113,51.0,293.95,293.95,4.73,11.86,26.03,20.89,90.56,16.8,50.87,Pakistan,165803560,803940,206.2,72.44,2100.0,45.7,31.8,0.87,29.74,8.23,0.216,0.251,0.533
22,Romania,1235,18791,121,59.0,290.15,283.71,3.6,68.25,83.95,48.15,27.82,58.67,48.86,Romania,22303552,237500,93.9,26.43,7000.0,98.4,196.9,2.25,10.7,11.77,0.101,0.35,0.549
23,Poland,1038,22825,118,74.0,299.15,297.59,4.6,69.29,92.35,43.37,14.26,58.71,42.66,Poland,38536869,312685,123.3,8.51,11100.0,99.8,306.3,1.12,9.85,9.89,0.05,0.311,0.64
24,Philippines,921,15588,117,65.0,303.49,303.49,2.25,37.1,60.34,33.45,17.16,55.64,70.01,Philippines,89468677,300000,298.2,23.51,4600.0,92.6,38.4,16.77,24.89,5.41,0.144,0.326,0.53
25,Chile,890,86943,32,67.0,288.71,288.15,3.1,97.15,98.55,32.52,10.83,73.73,51.01,Chile,16134219,756950,21.3,8.8,9900.0,96.2,213.0,0.42,15.23,5.81,0.06,0.493,0.447
26,Japan,881,16598,76,88.0,294.26,293.15,3.1,100.0,94.06,45.41,37.89,92.99,36.79,Japan,127463611,377835,337.4,3.26,28200.0,99.0,461.2,0.96,9.37,9.16,0.017,0.258,0.725
27,Egypt,845,20793,45,83.0,298.15,296.48,3.1,20.03,86.32,46.15,44.95,68.61,37.92,Egypt,78887007,1001450,78.8,32.59,4000.0,57.7,131.8,0.48,22.94,5.23,0.149,0.357,0.493
28,Colombia,833,24141,34,79.0,302.15,302.15,5.1,60.12,77.21,9.6,27.88,71.05,92.93,Colombia,43593035,1138910,38.3,20.97,6300.0,92.5,176.2,1.67,20.48,5.58,0.125,0.342,0.533
29,Ukraine,669,22382,148,77.0,291.18,291.18,3.29,88.71,78.76,57.55,14.08,64.44,54.32,Ukraine,46710816,603700,77.4,20.34,5400.0,99.7,259.9,1.61,8.82,14.39,0.187,0.452,0.361
30,Austria,668,16628,8,85.0,283.15,283.15,2.23,91.08,99.08,71.34,27.6,86.38,56.625,Austria,8192880,83870,97.7,4.66,30000.0,98.0,452.2,0.86,8.74,9.76,0.018,0.304,0.678
31,Algeria,630,8997,2,12.0,309.84,309.84,2.71,35.6,91.6,34.26,9.96,80.95,44.39,Algeria,32930091,2381740,13.8,31.0,6000.0,70.0,78.1,0.25,17.14,4.61,0.101,0.6,0.298
32,Denmark,568,11712,40,78.0,296.48333333333335,294.67,6.0,88.3,98.45,67.02,12.74,98.2,50.75,Denmark,5450661,43094,126.5,4.56,31100.0,100.0,614.6,0.19,11.13,10.36,0.018,0.246,0.735
33,Bangladesh,559,40321,12,78.0,300.15,300.15,2.1,14.72,0.0,37.82,12.13,11.96,66.86,Bangladesh,147365352,144000,1023.4,62.6,1900.0,43.1,7.3,3.07,29.8,8.27,0.199,0.198,0.603
34,Hungary,509,3816,67,55.0,294.82,292.15,4.1,75.88,93.42,69.15,11.64,57.67,56.625,Hungary,9981334,93030,107.3,8.57,13900.0,99.4,336.2,2.06,9.72,13.11,0.037,0.312,0.651
35,Argentina,508,14702,5,62.0,288.4,288.4,2.59,59.78,72.13,70.69,7.51,79.88,42.26,Argentina,39921833,2766890,14.4,15.18,11200.0,97.1,220.4,0.48,16.73,7.55,0.095,0.358,0.547
36,Dominican Republic,485,16068,43,74.0,299.15,299.15,4.1,29.34,90.17,8.11,10.42,64.86,74.5,Dominican Republic,9183984,48730,188.5,32.38,6000.0,84.7,97.4,10.33,23.22,5.73,0.112,0.306,0.582
37,Saudi Arabia,441,80185,126,8.0,313.03,313.03,3.64,43.17,87.79,29.41,20.18,72.81,55.1,Saudi Arabia,27019731,1960582,13.8,13.24,11800.0,78.8,140.6,0.09,29.34,2.58,0.033,0.613,0.354
38,Panama,320,12131,114,94.0,299.15,298.71,5.7,53.1,78.12,11.23,27.05,66.96,63.08,Panama,3191319,78200,40.8,20.47,6300.0,92.6,137.9,1.98,21.74,5.36,0.068,0.156,0.776
39,Finland,313,6743,52,41.0,288.27,288.27,3.97,100.0,97.01,49.97,5.98,99.35,61.11,Finland,5231372,338145,15.5,3.57,27400.0,100.0,405.3,0.03,10.45,9.86,0.028,0.295,0.676
40,Bolivia,293,8387,19,83.0,301.48,300.15,4.1,43.51,63.66,54.41,18.38,61.64,56.625,Bolivia,8989046,1098580,8.2,53.11,2400.0,87.2,71.9,0.19,23.3,7.53,0.128,0.352,0.52
41,Israel,284,16872,74,58.0,294.82,294.82,0.89,86.92,99.49,26.03,29.26,94.14,85.34,Israel,6352117,20770,305.8,7.03,19800.0,95.4,462.3,4.17,17.97,6.18,0.026,0.317,0.657
42,Moldova,282,7725,99,67.0,289.15,289.15,4.6,60.77,83.06,46.51,31.08,60.29,56.625,Moldova,4466706,33843,132.0,40.42,1800.0,99.1,208.1,10.79,15.7,12.64,0.213,0.233,0.555
43,Nigeria,259,8915,110,47.0,303.88,303.88,2.64,61.39,30.76,32.93,20.18,36.64,69.17,Nigeria,131859731,923768,142.7,98.8,900.0,68.0,9.3,2.96,40.43,16.94,0.269,0.487,0.244
44,United Arab Emirates,258,32532,149,53.0,308.15,308.15,5.7,29.81,96.87,0.0,20.18,67.88,56.76,United Arab Emirates,2602713,82880,31.4,14.51,23200.0,77.9,475.3,2.25,18.96,4.4,0.04,0.585,0.375
45,Serbia,241,11300,128,63.0,291.15,290.15,7.2,68.53,60.49,52.95,38.66,61.18,56.625,Serbia,9396411,88361,106.3,12.89,2200.0,93.0,285.8,3.2,22.114732142857147,9.241345291479824,0.166,0.255,0.579
46,Norway,236,8411,111,67.0,288.71,287.15,5.7,96.44,96.11,28.51,22.08,97.86,68.73,Norway,4610820,323802,14.2,3.7,37800.0,100.0,461.7,0.0,11.46,9.4,0.021,0.415,0.564
47,Afghanistan,235,13036,0,34.0,293.39,293.39,1.78,0.0,0.0,44.77,99.07,36.76,56.625,Afghanistan,31056997,647500,48.0,163.07,700.0,36.0,3.2,0.22,46.6,20.34,0.38,0.24,0.38
48,Belarus,219,39858,14,85.0,285.36,285.36,7.37,72.8,97.54,28.1,15.34,69.55,56.625,Belarus,10293011,207600,49.6,13.37,6100.0,99.6,319.1,0.6,11.16,14.02,0.093,0.316,0.591
49,Morocco,202,7643,102,82.0,291.48,289.15,2.61,37.03,85.38,30.25,29.57,67.43,57.39,Morocco,33241259,446550,74.4,41.62,4000.0,51.7,40.4,2.17,21.98,5.58,0.217,0.357,0.426
50,Honduras,196,4752,66,94.0,293.73,293.73,0.89,19.01,56.32,10.21,3.59,55.95,54.38,Honduras,7326496,112090,65.4,29.32,2600.0,76.2,67.5,3.22,28.24,5.28,0.139,0.312,0.549
51,Sudan,195,4346,136,8.0,312.42,312.42,6.15,15.78,0.0,12.62,74.65,50.09,78.4,Sudan,41236378,2505810,16.5,62.5,1900.0,61.1,16.3,0.18,34.53,8.97,0.387,0.203,0.41
52,Kuwait,185,24112,80,8.0,319.15,319.15,5.7,39.0,96.88,30.75,20.18,70.55,64.88,Kuwait,2418393,17820,135.7,9.95,19000.0,83.5,211.0,0.11,21.94,2.41,0.004,0.479,0.516
53,Iraq,179,5457,72,16.0,311.15,311.15,9.3,35.11,70.21,22.96,20.18,61.46,56.625,Iraq,26783383,437072,61.3,50.25,1500.0,40.4,38.6,0.78,31.98,5.37,0.073,0.666,0.261
